Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
2020S01,S1   2020,2020,S,Semi-annual,752,Sweden,4,Dry breakbulk carriers,1.0552,,21,,3766,,43788,,5275.0,,55807.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,752,Sweden,5,Dry bulk carriers,0.4979,,29,,7279,,44043,,10680.0,,82654.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,752,Sweden,6,Roll-on/ roll-off ships,,,20,,27029,,75283,,10236.0,,31143.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,752,Sweden,7,Liquefied petroleum gas carriers,0.849,,14,,7823,,48655,,8567.0,,54655.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,792,Türkiye,0,All ships,1.1858,,25,,6122,,194308,,16083.0,,303994.0,,3070.0,,19462.0,
2020S01,S1   2020,2020,S,Semi-annual,792,Türkiye,1,Passenger ships,,,26,,1610,,54310,,,,,,,,,
2020S01,S1   2020,2020,S,Semi-annual,792,Türkiye,2,Liquid bulk carriers,1.1976,,14,,17594,,159872,,30362.0,,303994.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,792,Türkiye,3,Container ships,0.6056,,17,,33838,,194308,,,,,,3070.0,,19462.0,
2020S01,S1   2020,2020,S,Semi-annual,792,Türkiye,4,Dry breakbulk carriers,1.5215,,28,,4127,,43528,,5793.0,,62051.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,792,Türkiye,5,Dry bulk carriers,3.8139,,15,,25579,,95276,,44189.0,,183049.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,792,Türkiye,6,Roll-on/ roll-off ships,,,25,,21251,,76420,,8092.0,,45200.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,792,Türkiye,7,Liquefied petroleum gas carriers,1.2319,,16,,19028,,49394,,21692.0,,55047.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,792,Türkiye,8,Liquefied natural gas carriers,1.2951,,11,,113016,,137535,,92401.0,,122079.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,842,United States of America,0,All ships,1.4625,,24,,16172,,232618,,47874.0,,323183.0,,5237.0,,22000.0,
2020S01,S1   2020,2020,S,Semi-annual,842,United States of America,1,Passenger ships,,,28,,6944,,228081,,,,,,,,,
2020S01,S1   2020,2020,S,Semi-annual,842,United States of America,2,Liquid bulk carriers,1.6444,,11,,35206,,170618,,60894.0,,323183.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,842,United States of America,3,Container ships,1.0132,,14,,58188,,232618,,,,,,5237.0,,22000.0,
