Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
2018S01,S1   2018,2018,S,Semi-annual,842,United States of America,3,Container ships,0.98,,13,,58876,,167658,,,,,,5254,,14568,
2018S01,S1   2018,2018,S,Semi-annual,842,United States of America,4,Dry breakbulk carriers,1.77,,17,,11766,,66870,,15805,,73296,,,,,
2018S01,S1   2018,2018,S,Semi-annual,842,United States of America,5,Dry bulk carriers,2.3,,16,,29914,,94995,,53041,,183123,,,,,
2018S01,S1   2018,2018,S,Semi-annual,842,United States of America,6,Roll-on/ roll-off ships,,,13,,55763,,100430,,20615,,55828,,,,,
2018S01,S1   2018,2018,S,Semi-annual,842,United States of America,7,Liquefied petroleum gas carriers,2,,8,,29913,,57509,,34320,,59138,,,,,
2018S01,S1   2018,2018,S,Semi-annual,842,United States of America,8,Liquefied natural gas carriers,1.37,,5,,88802,,136740,,72291,,100000,,,,,
2018S01,S1   2018,2018,S,Semi-annual,926,United Kingdom,0,All ships,1.09,,17,,13546,,217673,,11828,,320051,,3549,,21413,
2018S01,S1   2018,2018,S,Semi-annual,926,United Kingdom,1,Passenger ships,,,18,,12082,,171598,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,926,United Kingdom,2,Liquid bulk carriers,1.05,,14,,12484,,165125,,20747,,320051,,,,,
2018S01,S1   2018,2018,S,Semi-annual,926,United Kingdom,3,Container ships,0.73,,13,,38235,,217673,,,,,,3549,,21413,
2018S01,S1   2018,2018,S,Semi-annual,926,United Kingdom,4,Dry breakbulk carriers,1.45,,18,,3339,,71543,,4571,,81279,,,,,
2018S01,S1   2018,2018,S,Semi-annual,926,United Kingdom,5,Dry bulk carriers,2.59,,14,,25214,,99195,,43717,,187882,,,,,
2018S01,S1   2018,2018,S,Semi-annual,926,United Kingdom,6,Roll-on/ roll-off ships,,,15,,24195,,100430,,9931,,55828,,,,,
